review_id,platform,rating,review_text
1,iOS,4,"Love the clean design, but it takes too many taps to find my recent orders."
2,Android,2,"The app crashes every time I try to upload a photo for my profile. Please fix ASAP."
3,iOS,5,"Great features and fast checkout. I just wish the search filters were easier to reset."
4,Android,3,"Notifications are helpful, but there are too many. Let me control what I get alerts for."
5,iOS,4,"Solid overall. Login with Face ID works well, and the new layout is easier to navigate."
6,Android,4,"Really useful, but the onboarding tutorial pops up again after updates."
7,iOS,3,"The new home screen looks nicer, but my saved items are harder to find now."
8,Android,1,"Won't open on my phone after the latest update. Stuck on the splash screen."
9,iOS,5,"Best version so far. Loads fast and I can finish what I need in a minute."
10,Android,2,"Search feels inconsistent. Same query gives different results day to day."
11,iOS,4,"Great overall, just add a dark mode and it would be perfect."
12,Android,3,"I like the reminders, but the timing is odd and I can't change it."
13,iOS,2,"Checkout fails with an error and then my cart empties. Super frustrating."
14,Android,4,"The layout makes sense and the labels are clear. Good accessibility too."
15,iOS,3,"Too many permission requests upfront. I'd rather opt in when needed."
16,Android,5,"Customer support link actually works and the FAQ is helpful."
17,iOS,4,"Sync across devices is better now, but sometimes it duplicates entries."
18,Android,2,"Takes forever to load on cellular. Wi‑Fi is fine, so maybe caching?"
19,iOS,5,"Love the quick actions. The shortcut button saves me so much time."
20,Android,3,"The app is okay, but the ads feel intrusive and break my flow."
21,iOS,4,"Would like clearer confirmation after submitting. Not sure if it went through."
22,Android,1,"Payment screen freezes and I have to force quit."
23,iOS,3,"Nice idea, but the settings are confusing. Labels don't match what happens."
24,Android,4,"Good experience overall. The latest update fixed my main issue."
25,iOS,2,"I keep getting logged out randomly, even with 'remember me' enabled."
26,Android,5,"Fast, clean, and easy. I recommended it to my team."
27,iOS,4,"The calendar view is great. Could use a weekly summary export."
28,Android,3,"Notifications are helpful, but I wish I could mute weekends."
29,iOS,5,"Finally supports my workflow. The search filters are excellent."
30,Android,2,"Buttons are too small and I keep tapping the wrong thing."
31,iOS,4,"Love the product, but the password reset email takes forever to arrive."
32,Android,3,"Works fine, just feels a bit cluttered on smaller screens."
33,iOS,1,"App crashes when I try to share a link."
34,Android,4,"Great update. The new navigation bar is much more intuitive."
35,iOS,3,"I wish there was an undo button after deleting items."
36,Android,2,"Location feature is unreliable. It says I'm in the wrong city."
37,iOS,5,"Super smooth animations and everything is where I expect it."
38,Android,3,"The tutorial is helpful, but it should be skippable."
39,iOS,4,"Would love a way to tag items and filter by tag."
40,Android,1,"Can't sign in with Google anymore. It just loops back to login."
41,iOS,2,"Downloads get stuck at 99% and never finish."
42,Android,4,"Good contrast and readable text. Appreciate the accessibility options."
43,iOS,3,"The app is fine, but it drains battery faster than before."
44,Android,5,"Exactly what I needed. Simple and dependable."
45,iOS,4,"Works well, but please add an option to bulk edit."
46,Android,2,"Sometimes my data doesn't sync unless I reopen the app."
47,iOS,5,"Love the new search suggestions. They help me find things quicker."
48,Android,3,"It's okay. I'd like clearer errors instead of 'something went wrong'."
49,iOS,4,"The flow is good. A progress indicator during uploads would help."
50,Android,5,"Great app. Stable, fast, and the latest fixes made a big difference."
